context_id,random_context_id,target_id,judgements,mean_acceptability,median_acceptability,real,n_samples,surprise_mean_1gram,surprise_min_1gram,surprise_max_1gram,surprise_mean_1gram_pos,surprise_min_1gram_pos,surprise_max_1gram_pos,expected_surprise_1gram_pos,surprise_deviation_1gram_pos,expected_surprise_1gram,surprise_deviation_1gram,surprise_mean_2gram,surprise_min_2gram,surprise_max_2gram,surprise_mean_2gram_pos,surprise_min_2gram_pos,surprise_max_2gram_pos,expected_surprise_2gram_pos,surprise_deviation_2gram_pos,expected_surprise_2gram,surprise_deviation_2gram,surprise_mean_3gram,surprise_min_3gram,surprise_max_3gram,surprise_mean_3gram_pos,surprise_min_3gram_pos,surprise_max_3gram_pos,expected_surprise_3gram_pos,surprise_deviation_3gram_pos,expected_surprise_3gram,surprise_deviation_3gram,surprise_mean_cosine,surprise_min_cosine,surprise_max_cosine,expected_surprise_cosine,surprise_deviation_cosine,surprise_mean_euclidean,surprise_min_euclidean,surprise_max_euclidean,expected_surprise_euclidean,surprise_deviation_euclidean,surprise_mean_length,surprise_min_length,surprise_max_length,expected_surprise_length,surprise_deviation_length,surprise_ooc_mean_1gram,surprise_ooc_min_1gram,surprise_ooc_max_1gram,context_informativeness_1gram,surprise_ooc_mean_1gram_pos,surprise_ooc_min_1gram_pos,surprise_ooc_max_1gram_pos,context_informativeness_1gram_pos,expected_surprise_ooc_1gram_pos,expected_context_informativeness_1gram_pos,surprise_ooc_deviation_1gram_pos,expected_surprise_ooc_1gram,expected_context_informativeness_1gram,surprise_ooc_deviation_1gram,surprise_ooc_mean_2gram,surprise_ooc_min_2gram,surprise_ooc_max_2gram,context_informativeness_2gram,surprise_ooc_mean_2gram_pos,surprise_ooc_min_2gram_pos,surprise_ooc_max_2gram_pos,context_informativeness_2gram_pos,expected_surprise_ooc_2gram_pos,expected_context_informativeness_2gram_pos,surprise_ooc_deviation_2gram_pos,expected_surprise_ooc_2gram,expected_context_informativeness_2gram,surprise_ooc_deviation_2gram,surprise_ooc_mean_3gram,surprise_ooc_min_3gram,surprise_ooc_max_3gram,context_informativeness_3gram,surprise_ooc_mean_3gram_pos,surprise_ooc_min_3gram_pos,surprise_ooc_max_3gram_pos,context_informativeness_3gram_pos,expected_surprise_ooc_3gram_pos,expected_context_informativeness_3gram_pos,surprise_ooc_deviation_3gram_pos,expected_surprise_ooc_3gram,expected_context_informativeness_3gram,surprise_ooc_deviation_3gram,surprise_ooc_mean_cosine,surprise_ooc_min_cosine,surprise_ooc_max_cosine,context_informativeness_cosine,expected_surprise_ooc_cosine,expected_context_informativeness_cosine,surprise_ooc_deviation_cosine,surprise_ooc_mean_euclidean,surprise_ooc_min_euclidean,surprise_ooc_max_euclidean,context_informativeness_euclidean,expected_surprise_ooc_euclidean,expected_context_informativeness_euclidean,surprise_ooc_deviation_euclidean,surprise_ooc_mean_length,surprise_ooc_min_length,surprise_ooc_max_length,context_informativeness_length,expected_surprise_ooc_length,expected_context_informativeness_length,surprise_ooc_deviation_length,surprise_rnd_mean_1gram,surprise_rnd_min_1gram,surprise_rnd_max_1gram,surprise_rnd_mean_1gram_pos,surprise_rnd_min_1gram_pos,surprise_rnd_max_1gram_pos,expected_rnd_surprise_1gram_pos,surprise_rnd_deviation_1gram_pos,expected_rnd_surprise_1gram,surprise_rnd_deviation_1gram,surprise_rnd_mean_2gram,surprise_rnd_min_2gram,surprise_rnd_max_2gram,surprise_rnd_mean_2gram_pos,surprise_rnd_min_2gram_pos,surprise_rnd_max_2gram_pos,expected_rnd_surprise_2gram_pos,surprise_rnd_deviation_2gram_pos,expected_rnd_surprise_2gram,surprise_rnd_deviation_2gram,surprise_rnd_mean_3gram,surprise_rnd_min_3gram,surprise_rnd_max_3gram,surprise_rnd_mean_3gram_pos,surprise_rnd_min_3gram_pos,surprise_rnd_max_3gram_pos,expected_rnd_surprise_3gram_pos,surprise_rnd_deviation_3gram_pos,expected_rnd_surprise_3gram,surprise_rnd_deviation_3gram,surprise_rnd_mean_cosine,surprise_rnd_min_cosine,surprise_rnd_max_cosine,expected_rnd_surprise_cosine,surprise_rnd_deviation_cosine,surprise_rnd_mean_euclidean,surprise_rnd_min_euclidean,surprise_rnd_max_euclidean,expected_rnd_surprise_euclidean,surprise_rnd_deviation_euclidean,surprise_rnd_mean_length,surprise_rnd_min_length,surprise_rnd_max_length,expected_rnd_surprise_length,surprise_rnd_deviation_length
sw2278_5,sw4040_11,sw2278_6,"[4.0, 5.0, 5.0, 5.0, 4.0]",4.6,5.0,True,10,0.893,0.25,1.0,0.5308095238095237,0.08333333333333333,0.6666666666666666,0.3279761904761905,0.20283333333333325,1.0,0.10699999999999998,0.931304347826087,0.4,1.0,0.8739130434782607,0.4,1.0,,,,,0.95,0.5,1.0,0.95,0.5,1.0,,,,,0.7158688038587571,0.1629350781440735,0.8895029276609421,0.6241380125284195,0.09173079133033757,1.1781914114952088,0.5708503723144531,1.3337937593460083,1.1104319512844085,0.06775946021080026,4.6,2,15,3.2,1.3999999999999995,0.9753561253561254,0.8461538461538461,1.0,0.05552341304945674,0.5586935286935287,0.3333333333333333,0.7142857142857143,0.002927039857758773,0.5021666666666667,0.09630812186680665,0.05652686202686208,0.8333333333333334,-0.0023709076361516646,0.142022792022792,1.0,1.0,1.0,0.040049218897044936,0.8739538239538239,0.6363636363636364,1.0,-0.03675489570913548,,,,,,,1.0,1.0,1.0,0.012333333333333307,0.9677777777777777,0.7777777777777778,1.0,0.009214285714285841,,,,,,,0.8399151669815182,0.7326650321483612,0.9714080486446619,0.06554054681211707,0.6356632314622402,-0.014365439356135323,0.204251935519278,1.2952624917030335,1.2105082273483276,1.393849492073059,0.05642030179500579,1.0632452428340913,-0.009595106900340378,0.23201724886894226,8.2,1,44,3.919999999999999,8.3,4.108080808080809,0.10000000000000142,0.9154867561059511,0.6,1.0,0.5628041509001261,0.4,0.6666666666666666,0.5952133411936488,0.03240919029352263,0.947451383818942,0.03196462771299091,0.9711538461538461,0.75,1.0,0.8567269984917043,0.5,1.0,0.8757926221335992,0.019065623641894902,1.0,0.028846153846153855,1.0,1.0,1.0,0.9472820512820512,0.6666666666666666,1.0,0.9859649122807017,0.03868286099865048,1.0,0.0,0.866799796000123,0.7803594321012497,0.9501836188137531,0.8421711437404156,0.02462865225970745,1.316074824333191,1.2492873668670654,1.3785381317138672,1.29685298204422,0.019221842288970947,8.2,0,44,11.3,3.1000000000000014
sw2278_5,sw4040_11,sw2278_6,"[4.0, 5.0, 5.0, 5.0, 4.0]",4.6,5.0,True,20,0.9432741935483872,0.25,1.0,0.5928241167434715,0.08333333333333333,0.6666666666666666,0.2565806878306878,0.33624342891278364,0.95,0.0067258064516128035,0.9656521739130435,0.4,1.0,0.9300599700149925,0.4,1.0,,,,,0.975,0.5,1.0,0.975,0.5,1.0,,,,,0.7741398312151432,0.1629350781440735,0.8895029276609421,0.5905149176716804,0.18362491354346278,1.2342327117919922,0.5708503723144531,1.3337937593460083,1.0546587258577347,0.17957398593425755,5.15,2,21,2.85,2.3000000000000003,0.9309913602193014,0.7058823529411765,1.0,0.011158647912632769,0.51902152313917,0.0,0.7142857142857143,-0.03674496569659991,0.6187660256410257,0.21290748084116567,0.09974450250185563,0.856974358974359,0.021270118004873995,0.07401700124494237,0.9825075414781297,0.8666666666666667,1.0,0.022556760375174623,0.8338094911624323,0.1,1.0,-0.0768992285005271,,,,,,,1.0,1.0,1.0,0.012333333333333307,0.9300090811965811,0.25,1.0,-0.028554410866910795,,,,,,,0.8320749388076365,0.7200435101985931,0.9714080486446619,0.057700318638235326,0.6738035533577204,0.023774882539344788,0.15827138544991615,1.2891353130340577,1.2000362873077393,1.393849492073059,0.05029312312602996,1.095860055088997,0.023019705354565323,0.19327525794506073,10.05,1,44,5.7700000000000005,13.05,8.858080808080809,3.0,0.9010883663979639,0.6,1.0,0.5344964810444688,0.26666666666666666,0.6666666666666666,0.5357892124558368,0.0012927314113679866,0.9257572823234146,0.02466891592545073,0.9655678998420933,0.75,1.0,0.8217618124022298,0.5,1.0,0.843434322762706,0.021672510360476238,0.99,0.024432100157906644,1.0,1.0,1.0,0.9264275111861318,0.6666666666666666,1.0,0.9561234817813766,0.02969597059524487,1.0,0.0,0.8378229642286896,0.6887088418006897,0.9501836188137531,0.848088476806879,0.010265512578189417,1.2936592757701875,1.17363440990448,1.3785381317138672,1.3016782581806183,0.008018982410430864,6.95,0,44,9.55,2.6000000000000005
sw2278_5,sw4040_11,sw2278_6,"[4.0, 5.0, 5.0, 5.0, 4.0]",4.6,5.0,True,30,0.9538494623655914,0.25,1.0,0.5837081413210445,0.08333333333333333,0.6666666666666666,0.2779585537918871,0.30574958752915743,0.9333333333333333,0.02051612903225808,0.9771014492753624,0.4,1.0,0.9215280752480902,0.4,1.0,,,,,0.9833333333333333,0.5,1.0,0.973015873015873,0.5,1.0,,,,,0.7816810511052609,0.1629350781440735,0.8895029276609421,0.587943955262502,0.1937370958427589,1.243384869893392,0.5708503723144531,1.3337937593460083,1.0422993024190268,0.20108556747436523,4.833333333333333,1,21,3.033333333333333,1.7999999999999998,0.9101046704145259,0.6923076923076923,1.0,-0.009728041892142714,0.5085512082524467,0.0,0.7142857142857143,-0.04721528058332325,0.6413820302790891,0.23552348547922913,0.13283082202664243,0.8305754985754986,-0.0051287423939864185,0.0795291718390273,0.9781110882581471,0.8181818181818182,1.0,0.018160307155192013,0.8243919469750673,0.1,1.0,-0.08631677268789206,,,,,,,1.0,1.0,1.0,0.012333333333333307,0.9432653133903135,0.25,1.0,-0.015298178673178398,,,,,,,0.8497373098817964,0.7200435101985931,0.984413274563849,0.07536268971239524,0.676946764998138,0.02691809417976243,0.17279054488365841,1.302647888660431,1.2000362873077393,1.4031487703323364,0.06380569875240316,1.0786796549956004,0.005839305261168715,0.22396823366483054,11.7,1,44,7.419999999999999,12.966666666666667,8.774747474747475,1.2666666666666675,0.9095364937779798,0.6,1.0,0.5424601992816647,0.26666666666666666,0.7142857142857143,0.5056385929114405,0.036821606370224136,0.9094868924525491,4.960132543074813e-05,0.9770452665613957,0.75,1.0,0.8285538779514111,0.5,1.0,0.8632402041330393,0.034686326181628147,0.9933333333333334,0.016288066771937726,1.0,1.0,1.0,0.9382244013968151,0.6666666666666666,1.0,0.9656207827260459,0.027396381329230834,1.0,0.0,0.8353714184214671,0.6887088418006897,0.9501836188137531,0.8195175220568974,0.015853896364569686,1.2919419089953104,1.17363440990448,1.3785381317138672,1.2785398681958517,0.013402040799458614,6.266666666666667,0,44,8.233333333333333,1.966666666666666
sw2278_5,sw4040_11,sw2278_6,"[4.0, 5.0, 5.0, 5.0, 4.0]",4.6,5.0,True,40,0.9567736513960423,0.25,1.0,0.593383346887142,0.08333333333333333,0.6764705882352942,0.24680224867724868,0.34658109820989336,0.925,0.03177365139604227,0.9828260869565216,0.4,1.0,0.9328127231027343,0.4,1.0,,,,,0.9875,0.5,1.0,0.9797619047619047,0.5,1.0,,,,,0.791262486577034,0.1629350781440735,0.8956482484936714,0.5846563909202814,0.2066060956567526,1.2526024639606477,0.5708503723144531,1.338393211364746,1.0355725079774856,0.2170299559831621,5.125,1,24,3.05,2.075,0.9027760136334052,0.6666666666666666,1.0,-0.017056698673263426,0.515206696232625,0.0,0.7142857142857143,-0.040559792603144906,0.6226373999022992,0.21677885510243916,0.10743070366967411,0.797931623931624,-0.037772617037861056,0.10484438970178123,0.9712435726038666,0.8,1.0,0.011292791500911559,0.839136034823375,0.1,1.0,-0.07157268483958446,,,,,,,1.0,1.0,1.0,0.012333333333333307,0.9536331955690509,0.25,1.0,-0.004930296494440989,,,,,,,0.850345701049082,0.7200435101985931,0.984413274563849,0.07597108087968085,0.6559991110581904,0.005970440239814856,0.1943465899908916,1.3032196462154388,1.2000362873077393,1.4031487703323364,0.0643774563074111,1.0365764066576957,-0.03626394307673597,0.26664323955774316,11.225,1,44,6.944999999999999,12.55,8.358080808080809,1.325000000000001,0.9088574566927938,0.6,1.0,0.5134235706434029,0.1111111111111111,0.7142857142857143,0.48978627125793484,0.023637299385468102,0.918956044150875,0.01009858745808112,0.9807839499210467,0.75,1.0,0.806446186628483,0.14285714285714285,1.0,0.8400665597420428,0.03362037311355981,0.9949999999999999,0.014216050078953213,1.0,1.0,1.0,0.9099917484867877,0.2,1.0,0.9535177818451386,0.043526033358350924,1.0,0.0,0.8294804078526795,0.6887088418006897,0.9501836188137531,0.8239095406606793,0.005570867192000173,1.2873630404472352,1.17363440990448,1.3785381317138672,1.2819503188133239,0.005412721633911266,7.125,0,44,8.975,1.8499999999999996
sw2278_5,sw4040_11,sw2278_6,"[4.0, 5.0, 5.0, 5.0, 4.0]",4.6,5.0,True,50,0.9398633655612784,0.25,1.0,0.5830400108430469,0.08333333333333333,0.6764705882352942,0.24944179894179894,0.33359821190124794,0.9,0.03986336556127834,0.973879917184265,0.4,1.0,0.9206549403869494,0.4,1.0,,,,,0.99,0.5,1.0,0.9729523809523809,0.5,1.0,,,,,0.7806424984335899,0.1629350781440735,0.8956482484936714,0.5728708720207214,0.2077716264128685,1.2436635065078736,0.5708503723144531,1.338393211364746,1.0113357138633727,0.23232779264450087,4.88,1,24,2.78,2.1,0.9102264924513341,0.6666666666666666,1.0,-0.009606219855334497,0.5113578875203898,0.0,0.7142857142857143,-0.04440860131538016,0.6688156615486336,0.2629571167487736,0.1574577740282438,0.8166786324786324,-0.019025608490852663,0.09354785997270176,0.9729848330204368,0.8,1.0,0.013034051917481748,0.8337838368035422,0.1,1.0,-0.07692488285941723,,,,,,,1.0,1.0,1.0,0.012333333333333307,0.9479368594855438,0.25,1.0,-0.010626632577948047,,,,,,,0.8551078257523477,0.7200435101985931,0.984413274563849,0.0807332055829465,0.6755070882663131,0.02547841744793755,0.17960073748603456,1.3069703483581543,1.2000362873077393,1.4031487703323364,0.06812815845012654,1.0616467463970185,-0.01119360333741315,0.24532360196113578,11.22,1,44,6.94,13.42,9.228080808080808,2.1999999999999993,0.9102137849031073,0.6,1.0,0.5181795035869483,0.1111111111111111,0.7272727272727273,0.49906973256755016,0.019109771019398147,0.9210494420369497,0.01083565713384238,0.9762938266035042,0.75,1.0,0.8147647924400413,0.14285714285714285,1.0,0.844802910411718,0.03003811797167666,0.9934999999999999,0.017206173396495772,1.0,1.0,1.0,0.9139933987894302,0.2,1.0,0.953024015685901,0.039030616896470804,1.0,0.0,0.8274550411477685,0.6769447922706604,1.0051518585532904,0.8285296507179737,0.0010746095702052205,1.285582971572876,1.1635676622390747,1.4178518056869507,1.285640287399292,5.731582641610444e-05,6.58,0,44,8.8,2.2200000000000006
sw2278_5,sw4040_11,sw2278_6,"[4.0, 5.0, 5.0, 5.0, 4.0]",4.6,5.0,True,60,0.9304416935232874,0.25,1.0,0.5752185275543907,0.08333333333333333,0.6764705882352942,0.22175705467372134,0.3534614728806694,0.85,0.08044169352328745,0.9631538992408557,0.4,1.0,0.913244196354204,0.3333333333333333,1.0,,,,,0.985,0.5,1.0,0.9624603174603175,0.5,1.0,,,,,0.773418952524662,0.1629350781440735,0.8956482484936714,0.5350977157553037,0.23832123676935824,1.2372284710407258,0.5708503723144531,1.338393211364746,0.9501200457413991,0.2871084252993267,4.616666666666666,1,24,2.3833333333333333,2.233333333333333,0.9175093251604612,0.6666666666666666,1.0,-0.0023233871462073896,0.5134098695368977,0.0,0.7142857142857143,-0.042356619298872245,0.6508153600928369,0.24495681529297691,0.1374054905559392,0.8276766381766383,-0.008027602792846755,0.08983268698382296,0.976534979897983,0.8,1.0,0.016584198795027927,0.8438992160234803,0.1,1.0,-0.06680950363947913,,,,,,,1.0,1.0,1.0,0.012333333333333307,0.9559473829046198,0.25,1.0,-0.0026161091588721153,,,,,,,0.8579208875230203,0.7200435101985931,0.984413274563849,0.08354626735361914,0.6725406985419492,0.022512027723573635,0.18538018898107111,1.3089944620927174,1.2000362873077393,1.4031487703323364,0.07015227218468967,1.0633511632680892,-0.009489186466342447,0.2456432988246282,13.1,1,44,8.82,14.4,10.208080808080808,1.3000000000000007,0.9049417238494926,0.6,1.0,0.5100472812201517,0.0,0.7272727272727273,0.5251435805584286,0.01509629933827683,0.927514746671003,0.022573022821510413,0.9693441821022467,0.75,1.0,0.8061111125071532,0.0,1.0,0.858992330661951,0.05288121815479785,0.9945833333333333,0.025239151231086554,1.0,1.0,1.0,0.9012907952874882,0.0,1.0,0.9568092287578587,0.05551843347037044,1.0,0.0,0.8192252412748834,0.6553010046482086,1.0051518585532904,0.8243723418563604,0.005147100581477049,1.2790927688280742,1.1448153257369995,1.4178518056869507,1.282279751698176,0.0031869828701018843,5.95,0,44,8.733333333333333,2.7833333333333323
sw2278_5,sw4040_11,sw2278_6,"[4.0, 5.0, 5.0, 5.0, 4.0]",4.6,5.0,True,70,0.9356166896866274,0.25,1.0,0.5785886698765526,0.08333333333333333,0.6764705882352942,0.21711829176114888,0.36147037811540367,0.8714285714285714,0.06418811825805593,0.9655604850635906,0.4,1.0,0.9199235968750319,0.3333333333333333,1.0,,,,,0.9871428571428571,0.5,1.0,0.9642517006802722,0.5,1.0,,,,,0.7774959857974734,0.1629350781440735,0.8956482484936714,0.5488519930413791,0.22864399275609426,1.2413506661142621,0.5708503723144531,1.338393211364746,0.9738500816481453,0.2675005844661168,4.457142857142857,1,24,2.5428571428571427,1.9142857142857146,0.9140831318221418,0.5294117647058824,1.0,-0.005749580484526784,0.5212409497921132,0.0,0.7142857142857143,-0.03452553904365674,0.6704589756750359,0.2646004308751759,0.14921802588292266,0.838008547008547,0.002304306039061954,0.07607458481359486,0.97743291317263,0.8,1.0,0.01748213206967497,0.8443210024501842,0.1,1.0,-0.06638771721277525,,,,,,,1.0,1.0,1.0,0.012333333333333307,0.9597644234420548,0.25,1.0,0.0012009313785629194,,,,,,,0.8560767028214676,0.5864305198192596,0.9947858359664679,0.08170208265206647,0.6837012833250421,0.03367261250666653,0.17237541949642554,1.3072584867477417,1.0829870700836182,1.4105218648910522,0.06841629683971395,1.0768658374037061,0.0040254876692744634,0.23039264934403558,12.871428571428572,1,44,8.591428571428573,14.3,10.108080808080809,1.4285714285714288,0.9096648580143741,0.6,1.0,0.515192279769026,0.0,0.75,0.5286016711932802,0.013409391424254125,0.9264944501190672,0.016829592104693036,0.9737235846590685,0.75,1.0,0.8114535026501088,0.0,1.0,0.8600525893408353,0.048599086690726434,0.9937698412698414,0.02004625661077286,1.0,1.0,1.0,0.9046778245321326,0.0,1.0,0.9527713593088218,0.048093534776689206,1.0,0.0,0.8221070230273264,0.6553010046482086,1.0051518585532904,0.8226852462760039,0.0005782232486775118,1.2814466782978602,1.1448153257369995,1.4178518056869507,1.2808449472699845,0.0006017310278756405,6.171428571428572,0,44,8.871428571428572,2.7
sw2278_5,sw4040_11,sw2278_6,"[4.0, 5.0, 5.0, 5.0, 4.0]",4.6,5.0,True,80,0.9273277979202433,0.2,1.0,0.5591829928880154,0.08333333333333333,0.6764705882352942,0.24956183862433864,0.30962115426367676,0.8875,0.03982779792024338,0.9600439958592133,0.4,1.0,0.9113617186942242,0.3333333333333333,1.0,,,,,0.9845833333333334,0.5,1.0,0.9595535714285715,0.5,1.0,,,,,0.7709797093644738,0.1629350781440735,0.9224317669868469,0.5680238189175725,0.20295589044690132,1.2355142258107663,0.5708503723144531,1.358257532119751,0.9997632004320621,0.23575102537870418,4.5,0,24,2.55,1.9500000000000002,0.916885601686614,0.5294117647058824,1.0,-0.002947110620054594,0.5114959267960784,0.0,0.7142857142857143,-0.0442705620396916,0.69144696499598,0.28558842019612,0.17995103819990166,0.8572959401709401,0.021591699201455095,0.05958966151567391,0.9774367631207801,0.8,1.0,0.01748598201782503,0.8390567491477242,0.1,1.0,-0.0716519705152352,,,,,,,1.0,1.0,1.0,0.012333333333333307,0.9585744359676454,0.25,1.0,1.0943904153459805e-05,,,,,,,0.8581861844519153,0.5864305198192596,1.025518473237753,0.08381156428251413,0.703841958893463,0.05381328807508745,0.15434422555845229,1.3088679194450379,1.0829870700836182,1.4321441650390625,0.07002572953701014,1.1046485327184201,0.031808182983988464,0.20421938672661777,13.4625,1,44,9.182500000000001,15.175,10.983080808080809,1.7125000000000004,0.908349635982703,0.5,1.0,0.512107498547293,0.0,0.75,0.512213868725224,0.00010637017793102554,0.9269629059590259,0.018613269976322844,0.9719039699100183,0.6666666666666666,1.0,0.8084327221659737,0.0,1.0,0.8541407401768758,0.045708018010902074,0.9940769129979035,0.0221729430878852,1.0,1.0,1.0,0.9034401857798106,0.0,1.0,0.950481994676539,0.04704180889672849,1.0,0.0,0.825745026790537,0.6553010046482086,1.0051518585532904,0.823555173072964,0.002189853717572965,1.2842267230153084,1.1448153257369995,1.4178518056869507,1.2815359398722648,0.002690783143043607,7.0875,0,44,9.625,2.5374999999999996
sw2278_5,sw4040_11,sw2278_6,"[4.0, 5.0, 5.0, 5.0, 4.0]",4.6,5.0,True,90,0.9212956062666688,0.2,1.0,0.5557323745812834,0.08333333333333333,0.6764705882352942,0.2561890064667843,0.29954336811449916,0.8777777777777778,0.043517828488891075,0.9582786456699501,0.4,1.0,0.9048724336124386,0.3333333333333333,1.0,,,,,0.9862962962962963,0.5,1.0,0.9539594356261022,0.5,1.0,,,,,0.770949141184489,0.1629350781440735,0.9224317669868469,0.5671618919405672,0.20378724924392178,1.2357175025675031,0.5708503723144531,1.358257532119751,0.9934325794378916,0.24228492312961147,4.366666666666666,0,24,2.477777777777778,1.8888888888888884,0.9167660374780483,0.5238095238095238,1.0,-0.0030666748286203305,0.5104770111531691,0.0,0.7142857142857143,-0.04528947768260083,0.6757320879848072,0.2698735431849472,0.1652550768316381,0.8471533992514385,0.011449158281953475,0.06961263822660979,0.9763375516239293,0.8,1.0,0.01638677052097426,0.8457495138344487,0.1,1.0,-0.06495920582851067,,,,,,,1.0,1.0,1.0,0.012333333333333307,0.9608118858150002,0.25,1.0,0.0022483937515083152,,,,,,,0.8560962781103121,0.5864305198192596,1.025518473237753,0.08172165794091091,0.6918560290916098,0.04182735827323425,0.16424024901870227,1.307321019967397,1.0829870700836182,1.4321441650390625,0.06847883005936928,1.090110742383533,0.01727039264910135,0.21721027758386402,13.1,1,44,8.82,15.033333333333333,10.841414141414141,1.9333333333333336,0.9107864262805252,0.5,1.0,0.5156189252288079,0.0,0.75,0.5090262743545209,0.006592650874287065,0.9275850786822518,0.01679865240172662,0.9719473479527241,0.6666666666666666,1.0,0.812238417779086,0.0,1.0,0.845329897219708,0.03309147944062196,0.9947350337759142,0.02278768582319013,1.0,1.0,1.0,0.9062559486133931,0.0,1.0,0.945530868148241,0.03927491953484796,1.0,0.0,0.825561464846962,0.6553010046482086,1.0051518585532904,0.8267969967590438,0.001235531912081811,1.2840988847944472,1.1448153257369995,1.4178518056869507,1.2841052095095316,6.324715084327082e-06,7.3,0,44,9.666666666666666,2.3666666666666663
sw2278_5,sw4040_11,sw2278_6,"[4.0, 5.0, 5.0, 5.0, 4.0]",4.6,5.0,True,100,0.9198327123066686,0.2,1.0,0.55576648883577,0.08333333333333333,0.7,0.26390343915343917,0.2918630496823308,0.88,0.03983271230666863,0.9599507811029551,0.4,1.0,0.9107087196629594,0.3333333333333333,1.0,,,,,0.9876666666666667,0.5,1.0,0.9585634920634919,0.5,1.0,,,,,0.7743746201694012,0.1629350781440735,0.9299205392599106,0.5773119875043631,0.1970626326650381,1.2388421899080277,0.5708503723144531,1.3637598752975464,1.0034000128507614,0.23544217705726633,4.28,0,24,2.54,1.7400000000000002,0.918922767063577,0.5238095238095238,1.0,-0.0009099452430916255,0.5122573523658946,0.0,0.7142857142857143,-0.04350913646987531,0.6496172125196599,0.24375866771979987,0.13735986015376522,0.8424380593262947,0.00673381835680964,0.07648470773728233,0.9783191810769211,0.8,1.0,0.018368399973966,0.8459181521945937,0.1,1.0,-0.06479056746836576,,,,,,,1.0,1.0,1.0,0.012333333333333307,0.9630806972335003,0.25,1.0,0.00451720517000842,,,,,,,0.8520531108789146,0.5864305198192596,1.025518473237753,0.07767849070951338,0.681865103431046,0.03183643261267044,0.17018800744786855,1.3042534720897674,1.0829870700836182,1.4321441650390625,0.06541128218173964,1.0780650955438613,0.005224745809429665,0.22618837654590607,12.7,0,44,8.419999999999998,13.94,9.748080808080807,1.2400000000000002,0.9088264946094187,0.5,1.0,0.5052722377887793,0.0,0.75,0.5007313150963022,0.0045409226924770785,0.9253796230757745,0.016553128466355815,0.971895470300309,0.6666666666666666,1.0,0.8047407664773679,0.0,1.0,,,,,1.0,1.0,1.0,0.9004208965425964,0.0,1.0,,,,,0.8256153011135757,0.6553010046482086,1.0051518585532904,0.8211087677627802,0.0045065333507955385,1.2841630697250366,1.1448153257369995,1.4178518056869507,1.278372151851654,0.005790917873382595,7.18,0,44,9.38,2.200000000000001
